Wrestler,Elo,Max Elo,Min Elo,Number of Matches
Liam Cross,794.8878742588516,1095.0,794.8878742588516,2
Casey Carrington,639.8738403398459,1095.0,639.8738403398459,2
Louie Valle,584.6616785408485,1095.0,584.6616785408485,3
Blake Li,583.7215293535476,1095.0,583.7215293535476,4
Vary Morales,562.9664433117443,1095.0,562.9664433117443,9
Marcus Kross,520.5252207787515,1095.0,520.5252207787515,7
Angel Fashion,501.35033020817696,1095.0,501.35033020817696,3
Lucas Chase,487.8176527993887,1095.0,487.8176527993887,2
JD Drake,484.7515055099496,1095.0,198.68695439821852,22
Mike Verna,468.7211174669714,1095.0,468.7211174669714,3
Baron Black,446.2839907218506,1095.0,222.33145760259688,25
Marq Quen,422.9982569344892,1095.0,422.9982569344892,4
D3,396.4900664273625,1095.0,396.4900664273625,5
Dan Barry,359.0061766991157,1095.0,359.0061766991157,1
Bshp King,357.76923712759924,1095.0,357.76923712759924,3
David Ali,326.3988989229834,1095.0,326.3988989229834,4
Cameron Stewart,310.9999999999991,1095.0,310.9999999999991,3
Jake Something,310.9660407755896,1095.0,310.9660407755896,3
Gus De La Vega,310.8868746302944,1095.0,310.8868746302944,3
VSK,310.4191497990963,1095.0,310.4191497990963,9
AC Adams,198.9959787900799,1095.0,198.9959787900799,2
Ray Jaz,198.60071952138037,1095.0,198.60071952138037,5
Andrew Palace,100.0,1095.0,100.0,3
Caleb Konley,100.0,1095.0,100.0,2
Jake St. Patrick,100.0,1095.0,100.0,5
Rayo,100.0,1095.0,100.0,1
Ryan Pyles,100.0,1095.0,100.0,2
JPH,100.0,1095.0,100.0,1
Zack Sabre Jr.,100.0,1095.0,100.0,1
Misterioso,100.0,1095.0,100.0,2
Nick Jackson,100.0,1095.0,100.0,3
Jon Cruz,100.0,1095.0,100.0,6
Dalton Castle,100.0,1095.0,100.0,2
Trenton Storm,100.0,1095.0,100.0,2
DJ Brown,100.0,1095.0,100.0,1
Royce Isaacs,100.0,1095.0,100.0,1
Tony Vincita,100.0,1095.0,100.0,2
Logan LaRoux,100.0,1095.0,100.0,1
John Skyler,100.0,1095.0,100.0,6
Thad Brown,100.0,1095.0,100.0,1
Kal Herro,100.0,1095.0,100.0,2
Aaron Rourke,100.0,1095.0,100.0,1
Michael Martinez,100.0,1095.0,100.0,1
Big Trouble Bishop,100.0,1095.0,100.0,1
Cash Wheeler,100.0,1095.0,100.0,2
Sean Legacy,100.0,1095.0,100.0,1
Alex Jebailey,100.0,1095.0,100.0,1
